Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
Urban5,"Results (25 runs, no seed, diff images)",Vertical Flip,[0.04966478 0.0444949  0.13792048 0.05177424 0.25221613],[0.04769187 0.06901778 0.03019539 0.01767135 0.05849666],[0.00313673 0.00385919 0.00639479 0.00644773 0.00976332],[0.00670134 0.01714234 0.01173331 0.00223567 0.00714841]
Urban5,"Results (25 runs, no seed, diff images)",Horizontal Flip,[0.04821617 0.04277543 0.14004669 0.04909674 0.252486  ],[0.04943703 0.06905146 0.02985492 0.01768176 0.05880739],[0.00281399 0.00374701 0.00416305 0.00827914 0.01162597],[0.0069636  0.01477937 0.01009669 0.00323091 0.00773903]
Urban5,"Results (25 runs, no seed, diff images)",Mix Flip,[0.04715519 0.04522486 0.1376566  0.05045619 0.25250882],[0.05334789 0.07391129 0.034121   0.01622118 0.05824843],[0.00257722 0.00482551 0.00550916 0.00640354 0.01058358],[0.01021937 0.00731072 0.00269541 0.00260899 0.00560299]
Urban5,"Results (25 runs, no seed, diff images)",Random Flip,[0.04837038 0.04927981 0.13621399 0.05237734 0.27173054],[0.05680967 0.07650268 0.0387281  0.01625017 0.0637121 ],[0.00762294 0.02203713 0.01413049 0.008897   0.10984948],[0.01169866 0.00913063 0.01110425 0.0020987  0.02042739]
Urban5,"Results (25 runs, no seed, diff images)",Jitter,[0.04542448 0.03963889 0.15167859 0.04675499 0.22555824],[0.03848507 0.05157812 0.02038651 0.01401344 0.0435776 ],[0.00280004 0.00386101 0.00393368 0.00650907 0.00948857],[0.00617904 0.01079435 0.00231729 0.00322709 0.00849858]
Urban5,"Results (25 runs, no seed, diff images)",Crop + Blur,[0.03653203 0.04842949 0.09132192 0.047483   0.20196277],[0.04395102 0.05314905 0.03059007 0.02300078 0.04082549],[0.00180574 0.00440578 0.00681215 0.00503273 0.01199485],[0.00752113 0.00779446 0.00575704 0.00451122 0.00752051]
Urban5,"Results (25 runs, no seed, diff images)",Crop + Flip,[0.04977496 0.04122831 0.12452295 0.04712103 0.24069138],[0.06316512 0.0665653  0.02929973 0.02274306 0.06807358],[0.00253592 0.00347224 0.00518323 0.006507   0.00763088],[0.00801364 0.0097772  0.00504074 0.00425093 0.00977572]
Urban5,"Results (25 runs, no seed, diff images)",Crop + Flip + Blur,[0.04364046 0.0405264  0.08594801 0.04772917 0.22648108],[0.06050238 0.06592734 0.03215886 0.02759542 0.05656606],[0.00280249 0.00307851 0.00680331 0.0047985  0.00735477],[0.0128752  0.0116531  0.00568193 0.00633607 0.00961016]
Urban5,"Results (25 runs, no seed, diff images)",Crop + Jitter,[0.04058873 0.04197471 0.13619803 0.04410906 0.22262207],[0.04947671 0.05707072 0.02872083 0.02104419 0.05156178],[0.00215939 0.00631508 0.00498623 0.00533095 0.0082974 ],[0.00979848 0.01064807 0.00536087 0.00314556 0.00979182]
Urban5,"Results (25 runs, no seed, diff images)",Crop + Jitter + Blur,[0.0361946  0.04844517 0.09222232 0.04967548 0.20192534],[0.04484978 0.05463061 0.02973267 0.02098982 0.04292177],[0.00158859 0.00540535 0.00627598 0.00557567 0.01078285],[0.00972515 0.0075567  0.00429504 0.00260728 0.00976457]
Urban5,"Results (25 runs, no seed, diff images)",Crop + Jitter + Flip,[0.05027358 0.04190468 0.12284305 0.04855658 0.2467488 ],[0.06630624 0.07111435 0.03150531 0.02393448 0.07014278],[0.00237901 0.00375629 0.00435246 0.00737891 0.00795939],[0.01200926 0.01100703 0.00602238 0.00344546 0.01041799]
Urban5,"Results (25 runs, no seed, diff images)",Jitter + Flip,[0.0490915  0.04425357 0.14102173 0.04919214 0.25686944],[0.05138842 0.06600946 0.0300034  0.01630088 0.05826352],[0.00340119 0.00325106 0.00515116 0.00662156 0.00838208],[0.0089893  0.01123277 0.00778075 0.00323086 0.00830119]
Urban5,"Results (25 runs, no seed, diff images)",Jitter + Flip + Blur,[0.04231484 0.04316887 0.08573572 0.0504746  0.24061012],[0.06057416 0.06770218 0.0282691  0.02291839 0.06310014],[0.0020861  0.00287015 0.00820173 0.0047019  0.00734451],[0.00859905 0.01142235 0.00618261 0.0042606  0.01120686]
Urban5,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 1.0])",[0.03930672 0.04186647 0.09905717 0.04943993 0.21583384],[0.04620649 0.06259844 0.03514162 0.02239795 0.04428962],[0.00140189 0.00348883 0.00472188 0.00697915 0.00989598],[0.00777888 0.00935183 0.00372353 0.00258096 0.0075686 ]
Urban5,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 2.0])",[0.04160986 0.04569947 0.10831773 0.04635169 0.21277381],[0.04679811 0.0641858  0.03319664 0.02116539 0.04633236],[0.00203834 0.00468913 0.0048781  0.00471186 0.01389152],[0.00624584 0.00870998 0.00698422 0.0032616  0.00629615]
Urban5,"Results (25 runs, no seed, same images)",Crop (50),[0.04201213 0.0419897  0.13221833 0.04763636 0.22307694],[0.04301418 0.05213026 0.02722944 0.02002831 0.04415765],[0.00281731 0.00599581 0.00558717 0.00707955 0.01501624],[0.00916093 0.01293953 0.00703092 0.00312427 0.01042849]
Urban5,"Results (25 runs, no seed, same images)",Crop (75),[0.04231379 0.04256698 0.13217854 0.04434617 0.22386932],[0.04976325 0.05552505 0.02763195 0.01973235 0.04784257],[0.00229758 0.0053168  0.00568777 0.00433898 0.01407842],[0.01190756 0.012495   0.00599574 0.00331375 0.00900931]
Urban5,"Results (25 runs, no seed, same images)",Crop (95),[0.04173238 0.04057401 0.13756904 0.04521627 0.22853334],[0.05138027 0.05990732 0.02955291 0.02100114 0.05387988],[0.00199241 0.00397841 0.00427684 0.00509258 0.00784775],[0.00934377 0.0127101  0.00522407 0.00289161 0.00978049]
Urban5,"Results (25 runs, no seed, same images)",Vertical Flip,[0.04894792 0.04895099 0.14045984 0.05008944 0.2754812 ],[0.05884866 0.07013845 0.03307188 0.01636856 0.06826232],[0.006292   0.02671971 0.00496303 0.00606544 0.1076075 ],[0.00961138 0.01696626 0.02730206 0.00430656 0.0271525 ]
Urban5,"Results (25 runs, no seed, same images)",Horizontal Flip,[0.05006182 0.04667678 0.14017743 0.05405077 0.2536802 ],[0.05109489 0.06892565 0.02699515 0.0155357  0.06075948],[0.00315799 0.00480199 0.00395549 0.00684341 0.01031143],[0.00945719 0.0159956  0.00720681 0.00320551 0.01095124]
Urban5,"Results (25 runs, no seed, same images)",Mix Flip,[0.04854193 0.0445899  0.14193314 0.04971166 0.24787363],[0.05499849 0.06399155 0.02455624 0.01511465 0.06048952],[0.00211389 0.00377276 0.00438898 0.00675672 0.0064121 ],[0.00828319 0.01348867 0.00405694 0.00235764 0.01138706]
Urban5,"Results (25 runs, no seed, same images)",Random Flip,[0.04915191 0.04527029 0.14156324 0.05151841 0.25191617],[0.054454   0.06254717 0.02376155 0.01453301 0.05963457],[0.00213641 0.00439313 0.00426498 0.00797619 0.00645993],[0.00824423 0.0101358  0.00310243 0.00198309 0.00838996]
Urban5,"Results (25 runs, no seed, same images)",Jitter,[0.0449503  0.03766421 0.15283355 0.04649942 0.22219251],[0.03557282 0.04628639 0.0198379  0.01247231 0.04033269],[0.00254865 0.00425307 0.00432662 0.00648656 0.00752371],[0.0053424  0.00753579 0.00311814 0.00184122 0.00510211]
Urban5,"Results (25 runs, no seed, same images)",Crop + Blur,[0.03539512 0.04660826 0.08670627 0.04749363 0.19604452],[0.04618732 0.06045346 0.032567   0.02307824 0.04611418],[0.00202604 0.00548429 0.00337294 0.00449677 0.01685642],[0.01002637 0.00894512 0.00457039 0.00332041 0.00765241]
Urban5,"Results (25 runs, no seed, same images)",Crop + Flip,[0.05073233 0.0415811  0.12587106 0.04829596 0.24070519],[0.06289499 0.07064516 0.03245463 0.02487483 0.06584699],[0.00270736 0.00379098 0.00380969 0.00588906 0.00936785],[0.01006227 0.01178795 0.00371617 0.00399637 0.01239613]
Urban5,"Results (25 runs, no seed, same images)",Crop + Flip + Blur,[0.04287803 0.04066321 0.08194641 0.04859675 0.2173182 ],[0.0614693  0.0681133  0.03709321 0.03242274 0.05714304],[0.00163831 0.00283433 0.00355266 0.00586136 0.0062204 ],[0.01031092 0.00834796 0.00298901 0.00398003 0.00810287]
Urban5,"Results (25 runs, no seed, same images)",Crop + Jitter,[0.04229537 0.04053192 0.13188003 0.04764631 0.22490871],[0.05455533 0.06528678 0.0300315  0.02077734 0.05681413],[0.00238692 0.00561597 0.00445239 0.00651585 0.01081776],[0.00855744 0.00804584 0.00331039 0.00455847 0.00930275]
Urban5,"Results (25 runs, no seed, same images)",Crop + Jitter + Blur,[0.03526079 0.04625363 0.0875534  0.04445687 0.19680437],[0.05153485 0.06267288 0.03633876 0.02666236 0.0502528 ],[0.00140743 0.00801416 0.00515223 0.00453156 0.01993958],[0.00599182 0.0099433  0.00694857 0.00381044 0.00631375]
Urban5,"Results (25 runs, no seed, same images)",Crop + Jitter + Flip,[0.05000181 0.03970265 0.12586199 0.04532793 0.24470793],[0.06557659 0.07425018 0.03427131 0.02482827 0.0697901 ],[0.00264866 0.00318397 0.00380362 0.00707058 0.00882619],[0.01167207 0.00950413 0.00351783 0.00342482 0.01025502]
Urban5,"Results (25 runs, no seed, same images)",Jitter + Flip,[0.04842741 0.04297592 0.14139207 0.04986294 0.2542103 ],[0.05428628 0.08113091 0.04091092 0.01969983 0.06048397],[0.00329481 0.00347645 0.00327283 0.00643073 0.00995569],[0.01117706 0.00845129 0.00215337 0.00346771 0.01120357]
Urban5,"Results (25 runs, no seed, same images)",Jitter + Flip + Blur,[0.0432752  0.04321574 0.09186565 0.05241525 0.24066095],[0.05979048 0.07593114 0.03484154 0.02772735 0.06498408],[0.00239585 0.00266311 0.00601425 0.00652789 0.0077898 ],[0.00790369 0.00762696 0.00207916 0.00344125 0.00828103]
Urban5,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 1.0])",[0.03767642 0.04775142 0.10138334 0.04990395 0.1909794 ],[0.04360519 0.0552992  0.02690502 0.02003421 0.04184438],[0.00172397 0.00535579 0.00530919 0.00502391 0.01039068],[0.00545107 0.00655649 0.00456496 0.00280192 0.00491998]
Urban5,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 2.0])",[0.03759963 0.04353433 0.09975726 0.05762762 0.19271891],[0.04158921 0.05759583 0.0264913  0.01841336 0.03852748],[0.00133193 0.00440779 0.00426102 0.00387289 0.01230494],[0.00611862 0.01053939 0.00565899 0.00312597 0.00615488]
Urban5,"Results (25 runs, seed, same images)",Crop (50),[0.04271347 0.04264117 0.13082808 0.04544057 0.22611849],[0.04603507 0.05328206 0.02357598 0.01892917 0.04852058],[0.00220447 0.00536621 0.00434407 0.00543309 0.0130535 ],[0.00771524 0.0069079  0.00146338 0.00260748 0.00780564]
Urban5,"Results (25 runs, seed, same images)",Crop (75),[0.04180931 0.04104409 0.135093   0.04633066 0.22757511],[0.0446234  0.05336687 0.02553279 0.0206858  0.04494604],[0.00228852 0.00465211 0.00582858 0.00535938 0.007409  ],[0.00891728 0.00787514 0.00482077 0.00430457 0.00901127]
Urban5,"Results (25 runs, seed, same images)",Crop (95),[0.04243568 0.04437536 0.13259904 0.04682032 0.21972466],[0.04479082 0.05223437 0.02469157 0.02012032 0.04543507],[0.0017522  0.00625207 0.00404981 0.00492327 0.00660516],[0.0076989  0.00686331 0.00158559 0.00279572 0.00856917]
Urban5,"Results (25 runs, seed, same images)",Vertical Flip,[0.04951625 0.04445088 0.14173025 0.05128234 0.25354534],[0.05213663 0.0694207  0.03081655 0.01652826 0.0599716 ],[0.00232082 0.00403077 0.00431626 0.00805059 0.00799478],[0.01086952 0.01249681 0.00671539 0.00279002 0.0094877 ]
Urban5,"Results (25 runs, seed, same images)",Horizontal Flip,[0.04910396 0.04371392 0.14167419 0.05118838 0.25337517],[0.04927776 0.06717625 0.03254926 0.01755723 0.05482651],[0.00298614 0.00432297 0.00453701 0.00721275 0.00839398],[0.01089019 0.01147113 0.00762087 0.00347953 0.009179  ]
Urban5,"Results (25 runs, seed, same images)",Mix Flip,[0.04748838 0.04486729 0.14388838 0.0480965  0.25388497],[0.05706864 0.05724751 0.02077515 0.01577258 0.06232616],[0.00247907 0.00355293 0.00509713 0.00696051 0.00642893],[0.00923483 0.00754164 0.00175723 0.00256255 0.00833696]
Urban5,"Results (25 runs, seed, same images)",Random Flip,[0.04763627 0.04558088 0.14377216 0.05106195 0.2534996 ],[0.05816498 0.05843772 0.02095334 0.01632326 0.06257682],[0.00259297 0.00475048 0.00309946 0.00810624 0.00765182],[0.00911151 0.00786552 0.00266672 0.00329572 0.00794677]
Urban5,"Results (25 runs, seed, same images)",Jitter,[0.0455556  0.04110021 0.15006353 0.04853792 0.22808388],[0.03938227 0.06076898 0.02747877 0.01244787 0.04509902],[0.00251183 0.00592843 0.00340557 0.00652507 0.00920289],[0.00710954 0.00649864 0.00229029 0.0019888  0.0080986 ]
Urban5,"Results (25 runs, seed, same images)",Crop + Blur,[0.03773372 0.0504092  0.09175838 0.04423004 0.20145497],[0.04490762 0.05822109 0.02811154 0.02464421 0.04914029],[0.00237078 0.00883769 0.00487401 0.00472743 0.02142985],[0.00953324 0.00926648 0.00276562 0.00471247 0.00916099]
Urban5,"Results (25 runs, seed, same images)",Crop + Flip,[0.04973013 0.04300052 0.12274719 0.04698516 0.24199995],[0.0618607  0.06737413 0.03063307 0.02323378 0.06372853],[0.00329439 0.00304454 0.00519808 0.00543092 0.00999534],[0.01132533 0.01059763 0.0034161  0.00315881 0.01295692]
Urban5,"Results (25 runs, seed, same images)",Crop + Flip + Blur,[0.0445712  0.04216479 0.081236   0.04747074 0.22759663],[0.06583875 0.07032521 0.03767001 0.02824717 0.06336323],[0.00210066 0.0025061  0.00469019 0.00491744 0.00828521],[0.01075117 0.00749038 0.00450522 0.00502195 0.01240108]
Urban5,"Results (25 runs, seed, same images)",Crop + Jitter,[0.03989775 0.04714412 0.13172798 0.04607207 0.20896001],[0.04781621 0.05443677 0.02435895 0.02123457 0.05544069],[0.00289329 0.00571919 0.00482995 0.00556353 0.01869553],[0.01008779 0.00883163 0.00138606 0.00312379 0.01314812]
Urban5,"Results (25 runs, seed, same images)",Crop + Jitter + Blur,[0.03667726 0.04980541 0.09158876 0.04643888 0.19869265],[0.04709894 0.05830305 0.03058854 0.02405767 0.05509721],[0.00195154 0.00801202 0.00610356 0.00442068 0.0232871 ],[0.00821989 0.00819582 0.00751168 0.00313289 0.00964467]
Urban5,"Results (25 runs, seed, same images)",Crop + Jitter + Flip,[0.05106197 0.0393077  0.1264756  0.04619454 0.24749143],[0.06809147 0.07114172 0.03349864 0.02568569 0.06932213],[0.00320789 0.0035039  0.00506188 0.00506768 0.01092696],[0.01145173 0.01109889 0.00462297 0.00398758 0.01138631]
Urban5,"Results (25 runs, seed, same images)",Jitter + Flip,[0.04852378 0.04485223 0.13943943 0.05094082 0.25204217],[0.05612702 0.07334732 0.03214993 0.0162493  0.06440181],[0.00258647 0.00393504 0.00561416 0.00886094 0.01300093],[0.01062079 0.01155759 0.00714536 0.00264735 0.01068584]
Urban5,"Results (25 runs, seed, same images)",Jitter + Flip + Blur,[0.04227289 0.04216886 0.08549119 0.05206766 0.24190965],[0.06039666 0.0766687  0.03513279 0.02412366 0.06486861],[0.00196767 0.00303891 0.00438243 0.00542886 0.00788608],[0.01111717 0.00846208 0.00605842 0.00322065 0.01028279]
Urban6,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 1.0])",[0.04486654 0.03045967 0.1223558  0.04410464 0.40644282 0.06526297],[0.02255251 0.09275873 0.03608207 0.01565882 0.07860003 0.02246089],[0.00686508 0.00282429 0.00547111 0.00457697 0.00936626 0.00739297],[0.0024014  0.01486747 0.00359845 0.00344266 0.01439961 0.0046441 ]
Urban6,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 2.0])",[0.04328764 0.03427928 0.12115736 0.04486683 0.41077065 0.06662476],[0.0221893  0.09609296 0.03548846 0.01579878 0.08108943 0.02113187],[0.0057434  0.01864708 0.00689329 0.00390825 0.01205259 0.01314057],[0.00279991 0.01348094 0.00441855 0.0029097  0.01324331 0.00489621]
Urban6,"Results (25 runs, no seed, diff images)",Crop (50),[0.0455285  0.02907354 0.14735383 0.03948642 0.38812867 0.0904277 ],[0.02940186 0.08344801 0.03263195 0.01429831 0.08602358 0.03057722],[0.00491068 0.00443131 0.00376433 0.0053158  0.00581134 0.03106632],[0.01408849 0.01180519 0.00385311 0.00189417 0.01191918 0.00885384]
Urban6,"Results (25 runs, no seed, diff images)",Crop (75),[0.04601206 0.02868648 0.14768358 0.04097877 0.38790235 0.084528  ],[0.02603649 0.08463231 0.03327442 0.01500587 0.08618645 0.02833399],[0.00570045 0.00350841 0.00358893 0.00587209 0.00747126 0.02478723],[0.01232292 0.01070273 0.00362599 0.00246336 0.01150521 0.00918307]
Urban6,"Results (25 runs, no seed, diff images)",Crop (95),[0.04733009 0.03122505 0.14701355 0.04145438 0.39101383 0.08365554],[0.02646588 0.08237953 0.03269133 0.01370638 0.08305893 0.02930585],[0.00851392 0.00347382 0.0044216  0.00471918 0.00701621 0.02575378],[0.01110896 0.00952338 0.00452441 0.00172457 0.01254261 0.00756653]
Urban6,"Results (25 runs, no seed, diff images)",Vertical Flip,[0.03998302 0.04267229 0.14271833 0.0434422  0.45596385 0.12053125],[0.02375322 0.08988418 0.03338167 0.01035948 0.09778438 0.01703298],[0.00353068 0.00746254 0.02617243 0.00632887 0.12424684 0.02937964],[0.00438387 0.01889583 0.01808869 0.00196063 0.01066987 0.00332501]
Urban6,"Results (25 runs, no seed, diff images)",Horizontal Flip,[0.03983201 0.04801175 0.13820575 0.04641017 0.4952343  0.12610985],[0.02317116 0.08368008 0.03645951 0.01044216 0.09713677 0.01687681],[0.00488003 0.0121142  0.03437565 0.00899822 0.15249953 0.03383086],[0.00424495 0.02661112 0.01978607 0.00237793 0.01600074 0.0026657 ]
Urban6,"Results (25 runs, no seed, diff images)",Mix Flip,[0.03877158 0.03834315 0.15570138 0.04514671 0.4128585  0.10586975],[0.02225892 0.10211974 0.02920357 0.01031448 0.10915975 0.01781462],[0.00470825 0.0023723  0.00204384 0.00466602 0.00724499 0.01127671],[0.00218425 0.01839294 0.00902155 0.00219892 0.01775983 0.00553248]
Urban6,"Results (25 runs, no seed, diff images)",Random Flip,[0.03810253 0.04521971 0.14484724 0.0453708  0.4656723  0.12257834],[0.02401055 0.09220604 0.03550336 0.01078364 0.09493115 0.01599532],[0.00363036 0.01011034 0.02913643 0.00780699 0.12634027 0.02750994],[0.00535495 0.02279424 0.01481084 0.00150089 0.01345047 0.00309118]
Urban6,"Results (25 runs, no seed, diff images)",Jitter,[0.03736509 0.03688207 0.1611095  0.04235196 0.42158577 0.12683512],[0.03004127 0.09309322 0.03616364 0.00710139 0.09301343 0.02461358],[0.00306308 0.01273927 0.01891923 0.00885891 0.08358058 0.01705341],[0.00653212 0.01766042 0.01403014 0.00149646 0.01325947 0.00600486]
Urban6,"Results (25 runs, no seed, diff images)",Crop + Blur,[0.03971583 0.03942227 0.10573133 0.04265807 0.430223   0.07886942],[0.02835288 0.09445468 0.03738091 0.0170472  0.09346009 0.02426966],[0.0089293  0.02852096 0.00858165 0.00474536 0.10189981 0.02384075],[0.0063833  0.02872329 0.02226756 0.00284735 0.02227887 0.01285819]
Urban6,"Results (25 runs, no seed, diff images)",Crop + Flip,[0.04353164 0.04412095 0.12399857 0.04603432 0.47624287 0.12243192],[0.0311304  0.09684005 0.04352556 0.01907141 0.10366292 0.02186066],[0.00347276 0.01286363 0.03090089 0.00562935 0.13420896 0.03229797],[0.00601223 0.02541543 0.02376061 0.00495694 0.01947868 0.00497853]
Urban6,"Results (25 runs, no seed, diff images)",Crop + Flip + Blur,[0.03955787 0.04505514 0.0840412  0.04661046 0.49911287 0.11108005],[0.03774242 0.10039699 0.05770787 0.02353836 0.09889457 0.02624374],[0.00534313 0.0155849  0.01784481 0.00404052 0.1498437  0.03611441],[0.00870327 0.02105235 0.03653828 0.00341657 0.02046109 0.00590469]
Urban6,"Results (25 runs, no seed, diff images)",Crop + Jitter,[0.03855821 0.0333854  0.1475557  0.04029957 0.39953196 0.09905862],[0.02987728 0.09165481 0.02916415 0.01449861 0.09669788 0.02736266],[0.00740221 0.01198454 0.00473931 0.00372732 0.01839703 0.02382758],[0.01767874 0.01695733 0.0051147  0.00248303 0.01418122 0.01522502]
Urban6,"Results (25 runs, no seed, diff images)",Crop + Jitter + Blur,[0.03876551 0.05708349 0.10982326 0.04303922 0.48264226 0.08896813],[0.0286946  0.08652959 0.05181474 0.01833588 0.10113771 0.02530422],[0.0085011  0.03926176 0.0098923  0.00346657 0.14987133 0.02745872],[0.01131054 0.02558565 0.04219586 0.00243834 0.02576146 0.01337937]
Urban6,"Results (25 runs, no seed, diff images)",Crop + Jitter + Flip,[0.04285648 0.03890852 0.13066165 0.04869414 0.42806882 0.11150856],[0.03162735 0.10658538 0.03751341 0.01927707 0.10368544 0.02200622],[0.00487581 0.00554763 0.0163778  0.00358524 0.07245217 0.02180949],[0.0066239  0.016052   0.01024325 0.0030514  0.01286667 0.00401308]
Urban6,"Results (25 runs, no seed, diff images)",Jitter + Flip,[0.03933546 0.04643042 0.12964272 0.04865937 0.5249544  0.1326241 ],[0.02513966 0.09048442 0.04891527 0.01163944 0.10162966 0.01872475],[0.00373428 0.0103186  0.03767006 0.00594993 0.1735642  0.03960769],[0.0062856  0.03185067 0.02206557 0.00226573 0.01486754 0.00504456]
Urban6,"Results (25 runs, no seed, diff images)",Jitter + Flip + Blur,[0.03508768 0.03720738 0.09596717 0.05052775 0.41569197 0.09295687],[0.03233846 0.10893569 0.03885343 0.01931741 0.09455971 0.02251326],[0.00314688 0.00318257 0.00566803 0.0052687  0.01319008 0.01785695],[0.00829466 0.00943189 0.00593951 0.00206949 0.01433146 0.00547559]
Urban6,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 1.0])",[0.04678461 0.03627632 0.11301215 0.0446454  0.4009273  0.07810796],[0.02545069 0.08398823 0.02678822 0.01512608 0.07656282 0.02474329],[0.00773708 0.00961253 0.00572914 0.00548596 0.02056545 0.02355955],[0.00346912 0.01696097 0.00416428 0.00145934 0.0142113  0.00971531]
Urban6,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 2.0])",[0.03879748 0.03555213 0.10352146 0.04860602 0.41757488 0.08168118],[0.02730724 0.08704072 0.0321823  0.0173157  0.08374023 0.02281776],[0.00845234 0.01429711 0.00879208 0.00549685 0.07014551 0.03066733],[0.00888928 0.01913323 0.01339004 0.00335299 0.01662177 0.01441874]
Urban6,"Results (25 runs, no seed, same images)",Crop (50),[0.04001133 0.0284044  0.14806391 0.03999529 0.38763404 0.10638523],[0.03416257 0.08535659 0.02614289 0.01439362 0.09065557 0.03132579],[0.00622955 0.00345139 0.00386265 0.00426659 0.01089216 0.02887004],[0.01351298 0.01141116 0.00379458 0.00239702 0.01285286 0.01056517]
Urban6,"Results (25 runs, no seed, same images)",Crop (75),[0.03794127 0.03572245 0.14084432 0.03950223 0.4277709  0.11040475],[0.03146533 0.07801908 0.03320213 0.01467715 0.09479123 0.02764841],[0.00548394 0.02341469 0.02142378 0.00448257 0.10700713 0.0279229 ],[0.01110296 0.01456522 0.02313649 0.00263237 0.01673516 0.0091206 ]
Urban6,"Results (25 runs, no seed, same images)",Crop (95),[0.04829089 0.03018191 0.14114085 0.04336396 0.38034305 0.10603867],[0.0377664  0.0747517  0.02487764 0.01435119 0.08025278 0.03791625],[0.00716633 0.00308418 0.0049041  0.00718996 0.00923651 0.03569185],[0.01595409 0.0110144  0.00305762 0.00279663 0.01266378 0.01101449]
Urban6,"Results (25 runs, no seed, same images)",Vertical Flip,[0.03752743 0.04464678 0.14809674 0.04538567 0.45148587 0.1228374 ],[0.0254225  0.0932344  0.03261817 0.01197937 0.09240546 0.01638635],[0.00244229 0.00794087 0.02149164 0.00542785 0.10596147 0.02367975],[0.00396036 0.0185721  0.01545417 0.00261745 0.0139831  0.00274428]
Urban6,"Results (25 runs, no seed, same images)",Horizontal Flip,[0.03789306 0.04208677 0.15150863 0.04496036 0.42051256 0.12126106],[0.02509446 0.10207915 0.0294384  0.01050644 0.09593176 0.01598106],[0.00233989 0.00446406 0.00494482 0.00639398 0.00929257 0.00975403],[0.0035882  0.01221684 0.00859273 0.00206263 0.01134052 0.00178251]
Urban6,"Results (25 runs, no seed, same images)",Mix Flip,[0.03833094 0.04405953 0.1481082  0.04761752 0.43737057 0.12230484],[0.02397616 0.10235652 0.0318318  0.01046446 0.09789586 0.01574892],[0.00247468 0.00575549 0.01608256 0.00637225 0.07578923 0.01803321],[0.00298336 0.01910779 0.01196217 0.00159612 0.01520758 0.00215557]
Urban6,"Results (25 runs, no seed, same images)",Random Flip,[0.03801985 0.04313535 0.15045154 0.04578938 0.4377661  0.12317225],[0.02523168 0.09828531 0.03082258 0.01118198 0.09876963 0.01668579],[0.0029213  0.00510509 0.01696347 0.00730478 0.07718846 0.02034329],[0.00516999 0.01946366 0.01076025 0.00184579 0.01684576 0.00372705]
Urban6,"Results (25 runs, no seed, same images)",Jitter,[0.03903071 0.04210637 0.1499409  0.03989632 0.4696718  0.11420615],[0.0242869  0.08439625 0.0364554  0.00817924 0.09216826 0.02113202],[0.00466607 0.01991195 0.0345695  0.00627924 0.15155756 0.02802124],[0.00623308 0.02344606 0.01786104 0.00129577 0.01233969 0.0083984 ]
Urban6,"Results (25 runs, no seed, same images)",Crop + Blur,[0.0413496  0.03600677 0.10291262 0.04249027 0.42204064 0.0772282 ],[0.03162681 0.08690371 0.04079709 0.01834561 0.08428709 0.02883348],[0.00819493 0.02506638 0.00614342 0.00459771 0.10024123 0.03331481],[0.01466933 0.01522877 0.0330358  0.00282363 0.02695966 0.01211474]
Urban6,"Results (25 runs, no seed, same images)",Crop + Flip,[0.0445206  0.05480624 0.08866812 0.04850777 0.6385075  0.16048759],[0.03514998 0.07105852 0.06611826 0.02011888 0.10248275 0.02366969],[0.00391825 0.01254982 0.03684704 0.004895   0.18353945 0.0379792 ],[0.00892295 0.03128085 0.03012744 0.00304962 0.01692463 0.00619877]
Urban6,"Results (25 runs, no seed, same images)",Crop + Flip + Blur,[0.03866592 0.05189359 0.07342237 0.04996413 0.5763176  0.13039204],[0.04039102 0.08989856 0.07323925 0.02315133 0.10752106 0.02529838],[0.00317665 0.0172469  0.01839333 0.00549699 0.17311513 0.04237188],[0.01133017 0.02462045 0.03915413 0.00383494 0.02777182 0.0053502 ]
Urban6,"Results (25 runs, no seed, same images)",Crop + Jitter,[0.03796447 0.03085477 0.14848547 0.03818756 0.39487335 0.10580612],[0.03096739 0.09398384 0.03104974 0.01445378 0.09803043 0.02811017],[0.00503475 0.00969054 0.0060634  0.00449951 0.01172839 0.02404562],[0.01118466 0.01618039 0.00657446 0.00219954 0.01305612 0.00965795]
Urban6,"Results (25 runs, no seed, same images)",Crop + Jitter + Blur,[0.04152501 0.0360075  0.10778932 0.04146269 0.40429124 0.08024892],[0.02932069 0.0920677  0.03102984 0.01818365 0.08745879 0.02609467],[0.00692017 0.02691211 0.00585756 0.00405166 0.04301693 0.03212286],[0.01160151 0.01501117 0.00538604 0.00266456 0.01428183 0.01006127]
Urban6,"Results (25 runs, no seed, same images)",Crop + Jitter + Flip,[0.0460922  0.05019607 0.10103246 0.04671204 0.5733908  0.13660425],[0.03256153 0.08079908 0.05928392 0.01912662 0.10314159 0.02464008],[0.00549821 0.01516635 0.0386614  0.00607411 0.18826635 0.0451877 ],[0.00850391 0.02799207 0.03064064 0.00363699 0.01615484 0.00738419]
