Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Flip + Blur,"[0.28899726 0.08151581 0.1385682  0.08994419 0.09161475 0.05303439
 0.1818334  0.08056366 0.10119458 0.07069787 0.12459476 0.10260975]",,"[0.03686677 0.0045632  0.00910549 0.00316802 0.01174394 0.00243298
 0.02403626 0.01122372 0.01347275 0.00526738 0.0182075  0.01811002]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Jitter,"[0.31825873 0.0851347  0.14252795 0.09303714 0.10698333 0.05186323
 0.16974333 0.0753485  0.07981426 0.05482993 0.07164171 0.09918694]",,"[0.02703786 0.00582382 0.01164278 0.00440383 0.01629177 0.00192056
 0.02964102 0.00934206 0.00661535 0.00383578 0.01252985 0.01333776]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Jitter + Blur,"[0.3024818  0.08463953 0.1438905  0.08968625 0.10152378 0.05030327
 0.17029086 0.07273947 0.08259553 0.05237382 0.08129355 0.10168908]",,"[0.03483529 0.00580172 0.01334646 0.00506812 0.00919061 0.00089489
 0.02290829 0.00960269 0.00859189 0.0018529  0.00986719 0.01302057]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Jitter + Flip,"[0.2969926  0.07986046 0.13896184 0.08814389 0.10341521 0.05410298
 0.17900999 0.07344432 0.08976702 0.05961163 0.11343046 0.10973784]",,"[0.04626147 0.00651501 0.00952069 0.00330927 0.01505012 0.0035084
 0.02115391 0.00858667 0.01147207 0.00530428 0.01907629 0.02213215]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Jitter + Flip,"[0.28546065 0.07144321 0.13408267 0.0905182  0.10234594 0.06272967
 0.16435602 0.08118944 0.09912617 0.06269158 0.08941487 0.12143882]",,"[0.05971434 0.00478289 0.00980524 0.00516371 0.01776287 0.0051545
 0.02852457 0.01168898 0.00760653 0.00417716 0.02282171 0.01646659]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Jitter + Flip + Blur,"[0.29077494 0.07712822 0.13447191 0.08774355 0.09420243 0.05438329
 0.17501236 0.08219105 0.09477589 0.06496551 0.12110255 0.11199439]",,"[0.03086331 0.00329174 0.00924455 0.00313046 0.01313228 0.00404797
 0.01646261 0.01193651 0.00905421 0.01291935 0.02507655 0.01533463]",
Cuprite_fixed,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 1.0])","[0.3193453  0.08673085 0.14091878 0.09146652 0.0993214  0.05133571
 0.18073069 0.07259344 0.08200125 0.05223619 0.08005036 0.12429461]",,"[0.02184661 0.00553339 0.01498094 0.00233379 0.0071263  0.00263433
 0.02768373 0.00633751 0.00506976 0.00144297 0.01035307 0.02364953]",
Cuprite_fixed,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 2.0])","[0.31249544 0.08660089 0.14110953 0.09096977 0.10206424 0.05045635
 0.18286556 0.06889706 0.08063205 0.05139884 0.07324386 0.11037952]",,"[0.03522588 0.00922228 0.01531296 0.00265718 0.01138541 0.00223188
 0.02017059 0.00751538 0.00673276 0.00139171 0.01021826 0.01917957]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop (50),"[0.29992858 0.09234221 0.14633961 0.08381522 0.08879218 0.06570156
 0.17722279 0.09396929 0.09038766 0.05794456 0.07469935 0.10980981]",,"[0.03351919 0.00416641 0.00880453 0.00392881 0.01049734 0.00469012
 0.01678545 0.01026897 0.00937503 0.00228284 0.00932903 0.02010317]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop (75),"[0.2795875  0.07531458 0.14650095 0.08712124 0.09611715 0.05944527
 0.1628522  0.08641913 0.09139036 0.05587585 0.10482594 0.10611694]",,"[0.03246902 0.0017349  0.00935515 0.0054991  0.01155235 0.00252174
 0.02047503 0.00699532 0.00932484 0.00606466 0.02916719 0.02179075]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop (95),"[0.31031033 0.08432699 0.14839262 0.08892217 0.10899898 0.0539334
 0.1825119  0.06665194 0.08534833 0.05349359 0.07901383 0.12055639]",,"[0.03142439 0.00567676 0.02013233 0.00209682 0.01206271 0.00391049
 0.02206694 0.00739059 0.00678748 0.00330806 0.01416032 0.01482754]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Vertical Flip,"[0.32025844 0.08267511 0.15702465 0.09191411 0.10490118 0.05489001
 0.17703386 0.06778599 0.0799063  0.05115617 0.06748488 0.12455119]",,"[0.02879027 0.00820997 0.0202657  0.00472484 0.0122844  0.00545663
 0.02305917 0.00997717 0.00687271 0.00215079 0.01523082 0.02120795]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Horizontal Flip,"[0.3076806  0.07398134 0.13211912 0.08483079 0.09720963 0.05597257
 0.19261369 0.07977786 0.09961687 0.06979398 0.1146801  0.11156894]",,"[0.03536726 0.00537892 0.01155204 0.00247052 0.01133858 0.00544847
 0.02318601 0.00902396 0.00949768 0.0062408  0.01943319 0.00990506]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Mix Flip,"[0.3179303  0.07452252 0.13562696 0.08527926 0.10252758 0.05447793
 0.19206181 0.07838485 0.09591062 0.07007039 0.12214309 0.12084596]",,"[0.03127968 0.00436369 0.01501055 0.0026737  0.0147052  0.00367302
 0.01708826 0.01263837 0.00669725 0.00649317 0.01629486 0.01892817]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Random Flip,"[0.31027713 0.07557725 0.13974957 0.08480526 0.10372701 0.05830224
 0.19725649 0.07622451 0.09867105 0.05638809 0.10101587 0.1185358 ]",,"[0.01732343 0.00492089 0.01908332 0.0029901  0.01392476 0.00475142
 0.01890587 0.01095531 0.01243851 0.00480585 0.01854168 0.01464312]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Jitter,"[0.31347013 0.08196756 0.1480316  0.08924028 0.10550856 0.05348932
 0.18085417 0.07029236 0.08078241 0.05083653 0.06245402 0.12933123]",,"[0.03891177 0.00796142 0.01405125 0.00348286 0.0110553  0.00441696
 0.01963581 0.01148668 0.00591276 0.00278874 0.01202477 0.02062434]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Blur,"[0.27003935 0.08881265 0.1403875  0.08937686 0.09309666 0.05317197
 0.1658134  0.07476486 0.08312473 0.05434532 0.08743349 0.12051556]",,"[0.03822354 0.00499474 0.01094138 0.00420003 0.011148   0.00303623
 0.0167501  0.00793577 0.00696635 0.00265889 0.02928788 0.01615079]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Flip,"[0.29506874 0.08169939 0.14861324 0.08704434 0.09767966 0.05770639
 0.16808394 0.07537217 0.09868478 0.06391495 0.10798366 0.12424839]",,"[0.02755556 0.00617253 0.01621124 0.0033022  0.01077678 0.0039926
 0.02769622 0.00965676 0.01032499 0.00438534 0.00949771 0.03095407]",
